,Código,Código de Especie,Especie,Nombre común,Altura (m),Circunferencia (m),DAP (m),D. de copa N-S (m),D. de copa E-O (m),Fecha,Latitud,Longitud,Dirección,Observaciones,ID Foto Tronco,ID Foto Hojas,ID Foto inflorescencia,ID Foto fruto,ID Foto copa,ID Foto Tronco google_id,ID Foto Hojas google_id,ID Foto inflorescencia google_id,ID Foto fruto google_id,ID Foto copa google_id,Sector,lat,lon,troncos talados,claveles de aire,clorosis,tronco alterado con tallados,hojas senescentes,planta parasitaria,árbol joven,hojas rojas en el ápice del árbol,liquenes,araguaney en muy mal estado,rama cortada,tronco talado
0,A0001,AM,Terminalia catappa,Almendrón,15.0,1.5,0.477464829275686,10.0,90.0,Sat Aug 21 2021 00:00:00,10 ° 29 ' 22.1100359999986 '' N,66 ° 50 ' 50.7890399999781 '' W,"Sector 1, Área 2. Primer árbol del área en el sentido oeste-este",Troncos talados,A0001_IMG_20210821_134234103,A0001_IMG_20210821_134423343,,,A0001_IMG_20210821_134650796_HDR,1b1OpPAXFgEYblLGrzfEYLf8gUN2pF9tj,1b1mb3ZwoEbKCBE5GxswQr69jaQ9l33kI,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1ax4gv5DXQkqLVioGtNCHVTVJeObMqU_1,Sector 1,10.48947501,-66.8474414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A0002,JB,Hura crepitans,Jabillo,16.6,2.15,0.6843662552951499,25.2,17.1,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.2747720000014 '' N,66 ° 50 ' 50.7600239999817 '' W,"Sector 1, Área 1. Primer árbol del área, a ~ 3m de un contenedor de basura en el sentido oeste-este",Claveles de aire,A0002_IMG_20210828_110957291_HDR,A0002_IMG_20210828_111925186,,,A0002_IMG_20210828_111426951_HDR,1cfF-RrHwpkYbCu2RhaxuNMalHiaXmfQv,1cgRb5Jxes_lhfbIj0CyvnyPc-kGTpfoa,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1cg6mOfPMTOY3mePn50fAtqjafbCaGe1h,Sector 1,10.48952077,-66.84743334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A0003,JB,Hura crepitans,Jabillo,13.2,1.8,0.5729577951308232,21.17,12.4,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.1294399999989 '' N,66 ° 50 ' 50.6190840000102 '' W,"Sector 1, Área 2. Árbol paralelo al basurero y a un banquito verde","Clorosis, claveles de aire, troncos talados",A0003_tronco,A0003_hojas,,,A0003_copa,1DdjRcWovFVi_GU4T5tyu2eXPe8BoQjDc,1DZ89uJcUx6kHenzpAKCOrBwOiJQtVDAE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1DcFr8ZW3eGtoWTt7FR1-qr9MpVQlv3lO,Sector 1,10.4894804,-66.84739419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A0004,MM,Melicoccus bijugatus,Mamón,9.2,2.8,0.8912676813146139,11.9,16.2,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.0293960000026 '' N,66 ° 50 ' 50.4745439999965 '' W,"Sector 1, Área 3. Primer árbol del área, entre dos banquitos","Tronco alterado con tallados, hojas senescentes, planta parasitaria",A0004_IMG_20210828_120600496_HDR,A0004_IMG_20210828_120641141,,,A0004_IMG_20210828_120715410_HDR,1ckM5u3n9DSoMTe6kdpoziPGwwDDQ5l3V,1clRRFXUBv8p_E6xmDXd34aXILiVgU49h,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1csdx8cSC95hN-75zm-rhuNtWJJruPsFD,Sector 1,10.48945261,-66.84735404,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A0005,MG,Mangifera indica,Mango,9.08,1.07,0.340591578216656,9.03,11.18,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.4123999999995 '' N,66 ° 50 ' 50.23820400001 '' W,"Sector 1, Área 1. Segundo árbol del área, a 2,6 m al este de la placa del parque",,A0005_tronco,A0005_hojas,,,A0005_copa,1Dfnuv3lENWOQAEqnzdJIGZE3krQTt-BC,1Dfz62pbIq45zVVQyO-bn2B4PLSV3v3Ol,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1DcUhazDrLnoagP7uHmQ0jVtLcrrcuu9-,Sector 1,10.489559,-66.84728839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A0006,SS,Samanea saman,Samán,16.08,1.67,0.5315775099269304,12.75,18.28,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.2160200000003 '' N,66 ° 50 ' 50.277624000023 '' W,"Sector 1, Área 2. Tercer árbol del área",Claveles de aire,A0006_tronco,A0006_hojas,,,A0006_copa,15vafVnsqBiynQdik908qOW6uU892Telj,15vlL1nEB_SI9THs8xP2adbJ72dnnAKM3,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,15vyp5IQnDLdwcRe0kE5dOAWUSGjpWVff,Sector 1,10.48950445,-66.84729934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A0007,SS,Samanea saman,Samán,7.42,1.26,0.4010704565915762,13.76,12.47,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.3228320000003 '' N,66 ° 50 ' 50.1889559999768 '' W,"Sector 1, Área 1. Tercer árbol del área, a 0,28 m de la camineria",Claveles de aire,A0007_tronco,A0007_hojas,A0007_flor,,A0007_copa,15utLQjaShrHmfNAcIhTLFXTar7MH09O_,15tsCMQ_ezvE_cTr01W1Ss02JGbnCYSIG,15sab1tSsERMvGS3kSxc-L7BLnG3DIIJI,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,15nAqmG_bxslxmhFrabdGwb1iEEK5Hjyd,Sector 1,10.48953412,-66.84727471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A0008,CB,Swietenia macrophylla,Caoba,10.73,1.13,0.3596901713876834,19.35,12.47,Sat Aug 28 2021 00:00:00,10 ° 29 ' 22.148375999999 '' N,66 ° 50 ' 50.0821799999926 '' W,"Sector 1, Área 2. Último árbol antes de la primera intersección, frente a un letrero",Claveles de aire,A0008_tronco,A0008_hojas,,,A0008_copa,15kE56I2agmsjlEyuG3dVIa7Md5We8zsq,15a7omMuzSPVFj_gKSVWtRDAJthTiA45F,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,15bPnxNLSfsFhPdbdAbgckjwP9tGH4Iue,Sector 1,10.48948566,-66.84724505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A0009,SS,Samanea saman,Samán,9.08,1.25,0.3978873577297384,21.7,23.22,Sat Sep 04 2021 00:00:00,10 ° 29 ' 22.4619000000024 '' N,66 ° 50 ' 49.9992000000077 '' W,"Sector 1, Área 1. Árbol adyacente al letrero de comité de usuarios Parque Aruflo","Troncos talados, clorosis, claveles de aire",A0009_tronco,A0009_hojas,,,A0009_copa,1A2L2Id6MFCtB96qJqDhBYYVoGoH_XrRm,1A7fE4QCjYFuS_eWp9RdVKcW6BdfZXKxV,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1LzU1faZCXjnhr3ylE5yzNmXU2tm9VfRd,Sector 1,10.48957275,-66.847222,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A0010,AL,Terminalia catappa,Almendrón,11.55,1.17,0.372422566835035,10.75,13.33,Sat Sep 04 2021 00:00:00,10 ° 29 ' 21.8536440000028 '' N,66 ° 50 ' 50.0304479999841 '' W,"Sector 1, Área 3. Árbol paralelo a la segunda clavelina del área 3, aproximadamente a 3 metros de distancia.","troncos talados, claveles de aire",A0010_tronco,A0010_hojas,,,A0010_copa,1LzPGY3OtYPFPr_L9IMP-6af5DF-_Kp38,1LywSa8f1SY6M1doFDPiVKNBsNEkowqav,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1S-wJh3VyUvK3DcnxR6s8BJpLzlrQx2aE,1M-9e-lSh23aHzDStWncEHZ85aOVhNdNG,Sector 1,10.48940379,-66.84723068,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
