,Código,Código de Especie,Especie,Nombre común,Altura (m),Circunferencia (m),DAP (m),D. de copa N-S (m),D. de copa E-O (m),Fecha,Latitud,Longitud,Dirección,Observaciones,ID Foto Tronco,ID Foto Hojas,ID Foto inflorescencia,ID Foto fruto,ID Foto copa,Sector,Tronco ID,Hojas ID,Flores ID,Fruto ID,Copa ID
0,A0001,AM,Terminalia catappa,Almendrón,,1.5,14.8,,,21/08/2021,"10° 29' 22,1'' N","66° 50' 50,8'' W","Sector 1, Área 2. Primer árbol del área en el sentido oeste-este",Troncos talados,A0001_IMG_20210821_134234103,A0001_IMG_20210821_134423343,,,A0001_IMG_20210821_134650796_HDR,1,1b1OpPAXFgEYblLGrzfEYLf8gUN2pF9tj,1b1mb3ZwoEbKCBE5GxswQr69jaQ9l33kI,,,1ax4gv5DXQkqLVioGtNCHVTVJeObMqU_1
1,A0002,JB,Hura crepitans,Jabillo,16.6,2.15,0.6843662553,25.2,17.1,28/08/2021,"10° 29' 22,2'' N","66° 50' 50,9'' W","Sector 1, Área 1. Primer árbol del área, a ~ 3m de un contenedor de basura en el sentido oeste-este",Plantas epífitas (claveles de aire),A0002_IMG_20210828_110957291_HDR,A0002_IMG_20210828_111925186,,,A0002_IMG_20210828_111426951_HDR,1,1cfF-RrHwpkYbCu2RhaxuNMalHiaXmfQv,1cgRb5Jxes_lhfbIj0CyvnyPc-kGTpfoa,,,1cg6mOfPMTOY3mePn50fAtqjafbCaGe1h
2,A0003,JB,Hura crepitans,Jabillo,13.2,1.8,12.9,21.17,12.4,28/08/2021,"10° 29' 25,2'' N","66° 50' 59,3'' W","Sector 1, Área 2. Árbol paralelo al basurero y a un banquito verde","Clorosis, claveles de aire, troncos talados",A0003_tronco,A0003_hojas,,,A0003_copa,1,1DdjRcWovFVi_GU4T5tyu2eXPe8BoQjDc,1DZ89uJcUx6kHenzpAKCOrBwOiJQtVDAE,,,1DcFr8ZW3eGtoWTt7FR1-qr9MpVQlv3lO
3,A0004,MM,Melicoccus bijugatus,Mamón,9.2,2.8,13.9,11.9,16.2,28/08/2021,"10° 29' 23,2'' N","66° 50' 50,0'' W","Sector 1, Área 3. Primer árbol del área, entre dos banquitos","Tronco alterado con tallados, hojas senescentes",A0004_IMG_20210828_120600496_HDR,A0004_IMG_20210828_120641141,,,A0004_IMG_20210828_120715410_HDR,1,1ckM5u3n9DSoMTe6kdpoziPGwwDDQ5l3V,1clRRFXUBv8p_E6xmDXd34aXILiVgU49h,,,1csdx8cSC95hN-75zm-rhuNtWJJruPsFD
4,A0005,MG,Mangifera indica,Mango,9.08,1.07,2.09,9.03,11.18,28/08/2021,"10° 29' 22,4'' N","66° 50' 50,4'' W","Sector 1, Área 1. Segundo árbol del área, a 2,6 m al este de la placa del parque",,A0005_tronco,A0005_hojas,,,A0005_copa,1,1Dfnuv3lENWOQAEqnzdJIGZE3krQTt-BC,1Dfz62pbIq45zVVQyO-bn2B4PLSV3v3Ol,,,1DcUhazDrLnoagP7uHmQ0jVtLcrrcuu9-
5,A0006,SS,Samanea saman,Samán,16.08,1.67,0.5315775099,12.75,18.28,28/08/2021,"10° 29' 22,3'' N","66° 50' 50,4'' W","Sector 1, Área 2. Tercer árbol del área",Claveles de aire,A0006_tronco,A0006_hojas,,,A0006_copa,1,15vafVnsqBiynQdik908qOW6uU892Telj,15vlL1nEB_SI9THs8xP2adbJ72dnnAKM3,,,15vyp5IQnDLdwcRe0kE5dOAWUSGjpWVff
6,A0007,SS,Samanea saman,Samán,,1.26,0.4010704566,13.76,12.47,28/08/2021,,,"Sector 1, Área 1. Tercer árbol del área, a 0,28 m de la camineria",Claveles de aire,A0007_tronco,A0007_hojas,A0007_flor,,A0007_copa,1,15utLQjaShrHmfNAcIhTLFXTar7MH09O_,15tsCMQ_ezvE_cTr01W1Ss02JGbnCYSIG,15sab1tSsERMvGS3kSxc-L7BLnG3DIIJI,,15nAqmG_bxslxmhFrabdGwb1iEEK5Hjyd
7,A0008,ED01,Especie desconocida,ED01,,1.13,0.3596901714,19.35,12.47,28/08/2021,,,"Sector 1, Área 2.",Claveles de aire,A0008_tronco,A0008_hojas,,,A0008_copa,1,15kE56I2agmsjlEyuG3dVIa7Md5We8zsq,15a7omMuzSPVFj_gKSVWtRDAJthTiA45F,,,15bPnxNLSfsFhPdbdAbgckjwP9tGH4Iue
8,A0009,ED02,Especie desconocida,ED02,9.08,1.25,0.3978873577,21.7,23.22,04/09/2021,"10° 29' 23,0'' N","66° 50' 50,5'' W","Sector 1, Área 1. Árbol adyacente al letrero de comité de usuarios Parque Aruflo","Troncos talados, clorosis, claveles de aire",A0009_tronco,A0009_hojas,,,A0009_copa,1,1A2L2Id6MFCtB96qJqDhBYYVoGoH_XrRm,1A7fE4QCjYFuS_eWp9RdVKcW6BdfZXKxV,,,1LzU1faZCXjnhr3ylE5yzNmXU2tm9VfRd
9,A0010,AL,Terminalia catappa,Almendrón,,1.17,0.3724225668,10.75,13.33,04/09/2021,"10° 29' 21,8'' N","66° 50' 49,9'' W","Sector 1, Área 3. Árbol paralelo a la segunda clavelina del área 3, aproximadamente a 3 metros de distancia.",Tronco talado y claveles de aire,A0010_tronco,A0010_hojas,,,A0010_copa,1,1LzPGY3OtYPFPr_L9IMP-6af5DF-_Kp38,1LywSa8f1SY6M1doFDPiVKNBsNEkowqav,,,1M-9e-lSh23aHzDStWncEHZ85aOVhNdNG
10,A0011,SS,Samanea saman,Samán,,1.45,0.461549335,11.2,11.18,04/09/2021,"10° 29' 22,3'' N","66° 50' 50,0'' W","Sector 1, Área 2. Primer árbol después de la primera intersección con la camineria","Troncos talados, clorosis, claveles de aire",A0011_tronco,A0011_hojas,,A0012_fruto,A0011_copa,1,1A106mkV57AMW_ASI9tHCJ7MCeL_rcpDY,19x-vaI-uZsW95REgMcWFBp3akIjvKvY4,,18dScYa3PzJoS5uz2XgSa2llU-MYcvZy2,19Xmp0UlcfBU85EdLLV8eQDsJ_5KpLWRu
